rank,plant_id,plant_name,state,latitude,longitude,capacity_mw,quality_tier,composite_score,pearson_r,pearson_p,r_squared,spearman_rho,annual_pearson_r,mean_performance_ratio,cv_performance_ratio,n_monthly_points,n_years,year_min,year_max,total_generation_gwh,mean_monthly_gen_mwh,spearman_p,regression_slope,regression_intercept,regression_stderr,annual_pearson_p,std_performance_ratio,annual_cf_trend
11,10437,SEGS I,CA,34.863356,-116.827627,20.0,Tier 1 (Excellent),0.9298870805218137,0.9797835484540987,5.470836658915817e-64,0.959975801821305,0.9726071030418856,0.9866855604407477,1.3623057403395162,0.07218204889685802,91,8,2017,2024,439.47004,4829.341098901099,3.4834636558469536e-58,0.0011851237113069952,28.319234515432754,2.5650737790429604e-05,5.8420027327711975e-06,0.09833401956165733,0.009985182920200038
12,57378,AV Solar Ranch One,CA,34.780278,-118.42444,253.0,Tier 1 (Excellent),0.9282909414183207,0.96001649445015,7.29756075602317e-70,0.9216316696163549,0.9560934996729771,0.9857219335908474,1.1549758896243258,0.1741207634783749,125,11,2014,2024,6171.427,49371.416,2.047680364536358e-67,0.0006278966828162024,82.66937660780165,1.6509245860963533e-05,2.847898326044126e-08,0.20110528370050287,0.0054028166772495095
13,59273,SEPV Palmdale East,CA,34.613056,-117.938889,10.0,Tier 1 (Excellent),0.9277497942213904,0.9612887742297305,5.70343127664073e-64,0.9240761074600977,0.9612998203473286,0.9764421784809141,1.2121393958013114,0.10980781902817026,113,10,2015,2024,242.72605,2148.01814159292,5.6154980378642454e-64,0.0010439119839249723,26.85639943403413,2.840126970600284e-05,1.3097488700964914e-06,0.13310238341106603,0.0064256295835062975
14,58417,Lone Valley Solar Park I LLC,CA,34.398059,-116.865517,10.0,Tier 1 (Excellent),0.927442553756304,0.9524812738851244,2.801596811372707e-63,0.9072205771018294,0.9480354965451834,0.9927839602774948,1.124619181289519,0.15047180495614704,121,11,2014,2024,238.43201000000002,1970.5124793388431,5.030293534377576e-61,0.0009587630358493392,25.926443327637912,2.81065272260644e-05,1.334339725863329e-09,0.16922347809693827,0.010476746575342463
15,59319,Rock Solid,NJ,40.229725,-74.225818,8.0,Tier 1 (Excellent),0.9236739623045975,0.9471491329130005,4.2825143846318466e-61,0.8970914799778487,0.9614567396182022,0.9948053555836894,1.1233192933830658,0.19771443234314412,122,11,2014,2024,129.04803,1057.770737704918,3.8891549467233326e-69,0.0007604384681128108,37.41672418812472,2.3511522634984392e-05,3.049175334624028e-10,0.22209643643133462,0.008189339456205896
16,58626,Western Antelope Blue Sky Ranch A,CA,34.681667,-118.324722,20.0,Tier 1 (Excellent),0.9233455388564438,0.9470323718522142,4.871843693034686e-61,0.8968703133360305,0.9471219776552189,0.97588008566446,1.1620744364108817,0.13401155881711094,122,11,2014,2024,498.03004,4082.2134426229504,4.412989337742053e-61,0.001002232961735864,25.26809849681314,3.1024520891444717e-05,2.9719322886313477e-07,0.15573140668493793,0.008402653071814032
17,59634,Sandstone Solar,AZ,33.035556,-111.430278,45.0,Tier 1 (Excellent),0.9226091353701884,0.9483286455922961,3.6696528855999166e-55,0.8993272200509188,0.9450282642943193,0.9923535486050048,1.2632844251035131,0.10865352113261575,109,10,2015,2024,1081.67905,9923.661009174313,9.23230299118181e-54,0.0010380685026774544,36.15943426743095,3.357618014655706e-05,1.4819283858157777e-08,0.1372603009794889,0.014051858462863031
18,58990,"RE Columbia Two, LLC",CA,35.026667,-118.185556,15.0,Tier 1 (Excellent),0.919947120522131,0.9440522492455977,3.622511878377715e-59,0.8912346493056722,0.9340807478661426,0.9761821856128388,1.287382660847387,0.13059699205237751,121,11,2014,2024,412.11807999999996,3405.934545454545,4.664615355001676e-55,0.0010474151180737638,37.8795780718695,3.354243665901581e-05,2.809287053456289e-07,0.16812830312705482,0.009807515566625158
19,59185,Jacobstown,NJ,40.063743,-74.582429,5.0,Tier 1 (Excellent),0.9194084981717852,0.9417660166738191,1.3780304438768873e-59,0.8869232301616721,0.9555829356155585,0.9920701963694065,1.098897578354094,0.201618682280689,124,11,2014,2024,80.57406,649.7908064516129,1.3984946869640186e-66,0.0007480946561181108,36.391042667262994,2.4183564813269087e-05,2.0377792901158933e-09,0.22155828170919262,0.0056863885429638845
20,59628,Hanover,NJ,40.065278,-74.590556,5.0,Tier 1 (Excellent),0.9182473087417964,0.9513152655120906,4.743946264417451e-58,0.9050007343963393,0.9583148255714627,0.9923250396465579,1.0774642047525809,0.19073437173310692,112,10,2015,2024,70.78299000000001,631.9909821428572,1.124428644471106e-61,0.0007105173434888591,37.76141792843519,2.1948962624238246e-05,1.5041015240921962e-08,0.2055094581583952,0.006792177943821779
