rank,plant_id,plant_name,state,latitude,longitude,capacity_mw,quality_tier,composite_score,pearson_r,pearson_p,r_squared,spearman_rho,annual_pearson_r,mean_performance_ratio,cv_performance_ratio,n_monthly_points,n_years,year_min,year_max,total_generation_gwh,mean_monthly_gen_mwh,spearman_p,regression_slope,regression_intercept,regression_stderr,annual_pearson_p,std_performance_ratio,annual_cf_trend
256,59811,Rockfish Solar LLC,MD,38.591545,-76.87486,10.3,Tier 2 (Good),0.8209614123350708,0.8518243311367943,5.976055222350441e-33,0.725604691116647,0.8507468893472621,0.8451766732403874,1.2147713057244873,0.25619699303843474,113,10,2015,2024,171.25603999999998,1515.5401769911502,8.660709449856843e-33,0.0007233677375855674,53.681626725063936,4.2221722403130894e-05,0.002076194137135721,0.31122075575598673,0.0009930264206098746
257,58273,South Robeson Farm,NC,34.561146,-79.28097,5.0,Tier 2 (Good),0.8209285610386946,0.8291137803200668,1.854873703397128e-39,0.6874296607166319,0.8257825026141511,0.796195074406917,1.0163262157213069,0.21779133160212394,151,13,2012,2024,104.94203999999999,694.9803973509934,6.850330185944432e-39,0.0006309122050780585,48.414769075637764,3.485262900822975e-05,0.0011278670856460663,0.2213470398640909,-0.0010899003964072462
258,57651,Adobe Solar,CA,35.102778,-118.954444,20.0,Tier 1 (Excellent),0.8196521937911198,0.9233990021490565,3.076519035422776e-54,0.8526657171698732,0.9086476835744369,0.566279523072231,1.1836537881151301,0.18026181731169857,128,11,2014,2024,498.73903,3896.398671875,1.2671848365518673e-49,0.0008826395200029946,43.62672824751081,3.268591163351667e-05,0.06934935322240174,0.21336758291350955,-0.0029836612702366125
259,57439,California Valley Solar Ranch,CA,35.323739,-119.91663,249.8,Tier 3 (Acceptable),0.8186115240485483,0.7977632454891959,6.8983287668304715e-34,0.636426195853455,0.821175921847063,0.86200622338478,1.1854816460444715,0.2379686986016529,148,13,2012,2024,7414.51405,50098.067905405405,2.167524935916391e-37,0.0009690484515963122,32.42178601124655,6.0616566439137515e-05,0.0001510209933196431,0.2821075245253482,0.009083156032578584
260,58498,RE Rosamond One LLC,CA,34.9,-118.246944,20.0,Tier 1 (Excellent),0.8182103859176655,0.9342907779904976,4.393382305743109e-60,0.8728992578380893,0.9301393664591736,0.49676358061927417,1.3137942161941845,0.1421984802755649,132,11,2014,2024,617.32902,4676.735000000001,2.058027246634905e-58,0.001090903157468501,35.546646685019454,3.650955198869664e-05,0.12008059075241816,0.18681954093763997,-0.0022885512660855115
261,58757,Summer North Solar,CA,34.723056,-118.289722,6.5,Tier 2 (Good),0.8179859687410646,0.810948985250924,3.082119557319168e-29,0.6576382566795033,0.8081116744218347,0.8923953059383206,1.0375406406875267,0.1982835476466956,121,11,2014,2024,139.79307999999997,1155.3147107438015,6.789841194441288e-29,0.0007619407437232935,43.024119613009645,5.060917685847385e-05,0.00021997029065424692,0.20572723906314827,0.002740846824408468
262,58854,Nash 58 Farm,NC,36.047222,-78.030833,5.0,Tier 2 (Good),0.8172791146644464,0.8726673692578416,1.5478366231681543e-38,0.7615483373674021,0.878625041019869,0.7426542241280056,1.1516945413158177,0.22710352734932002,120,10,2014,2024,90.33402,752.7834999999999,1.0974778503262911e-39,0.0006380779898605053,61.82461229569677,3.286882664085719e-05,0.013875008460434555,0.26155389276177937,-0.0006458411166459102
263,58831,Redcrest Solar Farm,CA,35.321944,-118.812778,16.6,Tier 2 (Good),0.8144560194212903,0.83615514925594,3.372285711112841e-30,0.6991554336272233,0.838171288171288,0.8581239614934978,1.0388810282493846,0.25931756880709583,111,10,2015,2024,310.03805000000006,2793.135585585586,1.818952009057686e-30,0.0008654404244719461,24.21162295402152,5.437611125977015e-05,0.001488303305747281,0.26940010252544627,0.0016403426074576418
264,59173,Bethel Solar,NC,35.794328,-77.384542,5.0,Tier 3 (Acceptable),0.813615042955926,0.7949918024041148,5.697486456428575e-25,0.6320119658897432,0.801873788051888,0.9516909803554459,0.9353830052916183,0.21761298353853312,109,10,2015,2024,66.83505,613.1655963302751,1.115808064646505e-25,0.0005436096825637328,47.41375771930505,4.010047276780442e-05,2.2474457792151147e-05,0.20355148653274857,0.00799680780406808
265,58336,Mile Farm,NC,36.230561,-78.949586,5.0,Tier 2 (Good),0.8129415825173757,0.8464121975071343,1.8505866520364548e-35,0.716413608088856,0.8536940916970004,0.7655420810785072,1.0843231529170019,0.22803864373912888,127,11,2014,2024,89.24604,702.7247244094488,1.1788665417962338e-36,0.0006463170673818481,52.7373019223173,3.6665182336489896e-05,0.00602807001141713,0.24726758116612915,-0.0006251452885014527
